iter	MultiClass
0	2.130216686
1	1.972455908
2	1.848135559
3	1.704700407
4	1.627376147
5	1.538678106
6	1.468511507
7	1.408076695
8	1.309997757
9	1.267331132
10	1.204346763
11	1.161475574
12	1.109925293
13	1.070136743
14	1.038041532
15	0.9883593946
16	0.9515798853
17	0.9020240811
18	0.8651486595
19	0.8331827616
20	0.8056614333
21	0.7703497714
22	0.7405435622
23	0.7157375102
24	0.6847180555
25	0.6675022515
26	0.6483662753
27	0.6334121599
28	0.6138102993
29	0.5965522512
30	0.5758455043
31	0.553068777
32	0.5288019937
33	0.5172780568
34	0.501413963
35	0.4844454149
36	0.4743607768
37	0.4647481552
38	0.4528039514
39	0.4356898447
40	0.4204928235
41	0.4083975641
42	0.3989001759
43	0.3887110064
44	0.3794784696
45	0.3698333832
46	0.358961406
47	0.3508290605
48	0.3420544929
49	0.3331546406
50	0.3247821516
51	0.3168891178
52	0.3075765594
53	0.3003175152
54	0.2934690276
55	0.2855819065
56	0.2782379447
57	0.2733606393
58	0.268254245
59	0.2639461493
60	0.2578263963
61	0.2521427774
62	0.2468565971
63	0.2422057669
64	0.2383905662
65	0.2329670574
66	0.2286508391
67	0.2235865658
68	0.2204873329
69	0.2161686242
70	0.2122444126
71	0.2085288747
72	0.2038662899
73	0.1992542563
74	0.1953735797
75	0.1917968573
76	0.1878330769
77	0.1849788713
78	0.1819887524
79	0.1794542622
80	0.1768186871
81	0.1743559867
82	0.1714018349
83	0.1693595846
84	0.1660523084
85	0.1644155621
86	0.1620842624
87	0.15994397
88	0.1573510057
89	0.1552666501
90	0.1526248146
91	0.150878285
92	0.1484462401
93	0.1470696479
94	0.1454131649
95	0.1433057949
96	0.1417559442
97	0.1403115819
98	0.1387316748
99	0.1370145309
100	0.1351477652
101	0.1337636529
102	0.1319638214
103	0.1306824131
104	0.1288393021
105	0.1275593758
106	0.1262057508
107	0.1246263761
108	0.1232244651
109	0.1217286972
110	0.1205572386
111	0.1194099398
112	0.1183182051
113	0.117343137
114	0.1162919035
115	0.1153865506
116	0.1141134925
117	0.1132425776
118	0.1122578999
119	0.1114252909
120	0.110782864
121	0.1101731763
122	0.1091498885
123	0.108120373
124	0.1071289168
125	0.1062602274
126	0.10582886
127	0.1050421235
128	0.1043389748
129	0.1037831844
130	0.1028396496
131	0.1024130758
132	0.1018599098
133	0.1012103158
134	0.1004710835
135	0.1001435516
136	0.09951479636
137	0.09890729284
138	0.09856103749
139	0.09832670821
140	0.09793354809
141	0.09773148368
142	0.09707185683
143	0.09628772004
144	0.09592760005
145	0.09541594059
146	0.09489436952
147	0.09444309085
148	0.09394391241
149	0.09358749146
150	0.09326687421
151	0.09299293877
152	0.09273892127
153	0.09238469066
154	0.09184955876
155	0.09137549315
156	0.09095335147
157	0.09060440494
158	0.09013582901
159	0.08983401579
160	0.08959680057
161	0.08937192606
162	0.08908393149
163	0.08864458605
164	0.08829373951
165	0.08792722196
166	0.08758980874
167	0.08742441837
168	0.08725485178
169	0.08698077359
170	0.08682781252
171	0.08656736702
172	0.08621506161
173	0.08610510282
174	0.08571353682
175	0.08551336003
176	0.08512493411
177	0.0851151201
178	0.0850538537
179	0.08467287973
180	0.08453640998
181	0.08435261279
182	0.0841133295
183	0.08394292155
184	0.08387954605
185	0.08375683532
186	0.08347507225
187	0.0833272305
188	0.08327472764
189	0.0829909821
190	0.08283930362
191	0.08273173227
192	0.08245794021
193	0.08224181362
194	0.08200440366
195	0.08169996322
196	0.08151870397
197	0.08137753524
198	0.0812291084
199	0.08083596588
200	0.08075015904
201	0.08061491714
202	0.08036928663
203	0.08027507005
204	0.08001500761
205	0.07983308211
206	0.07979780523
207	0.07951012344
208	0.0792120273
209	0.07907472897
210	0.0787651829
211	0.07866490665
212	0.07848941556
213	0.07843186482
214	0.07838446156
215	0.07833271758
216	0.07810296444
217	0.07791501067
218	0.0777466346
219	0.07755648471
220	0.0775224601
221	0.07737836632
222	0.07714008783
223	0.07704300971
224	0.07686022627
225	0.07670350673
226	0.0766726386
227	0.07658624946
228	0.07651271357
229	0.07642352396
230	0.07635800835
231	0.07621809917
232	0.07616163987
233	0.07613276074
234	0.07591477261
235	0.07571607925
236	0.07562026899
237	0.0755230574
238	0.07543743288
239	0.07527923275
240	0.07515405324
241	0.07504741252
242	0.07488546122
243	0.07466852069
244	0.07461326999
245	0.07441950663
246	0.07434843558
247	0.0741545773
248	0.07404841127
249	0.07399800098
250	0.0738729786
251	0.07377088194
252	0.07372213911
253	0.07352191384
254	0.07345889618
255	0.0732107167
256	0.07307856559
257	0.07296782599
258	0.07290403323
259	0.07275730422
260	0.07258411914
261	0.07255925552
262	0.07236411934
263	0.07224945448
264	0.07197681001
265	0.07190263564
266	0.07171376831
267	0.07163439871
268	0.071605294
269	0.07149000738
270	0.0713561029
271	0.07128188431
272	0.07119998302
273	0.07117270065
274	0.07112061787
275	0.07101337502
276	0.07092838636
277	0.0708763975
278	0.07071006785
279	0.07061917618
280	0.07053117148
281	0.07032789288
282	0.07028842811
283	0.07024333464
284	0.07016219072
285	0.07014296534
286	0.07002452564
287	0.06976909756
288	0.06969888781
289	0.06954764375
290	0.06951117869
291	0.06949384382
292	0.06941938131
293	0.06935884881
294	0.0693128311
295	0.06920978623
296	0.06913579793
297	0.06910169521
298	0.06894304406
299	0.0689063933
